UNIT CODE,GEO,PROJECT,PHASE,SUB PHASE,BATCH,UNIT TYPE,LOT AREA,FLOOR AREA,TCP,VAT,TCP w/o VAT,ESTIMATED TURNOVER,HOUSE CON,INVENTORY STATUS,HOLDING STATUS,HOUSE TAGGING,,,,
B019L054,VISMIN,BACOLOD,1,A,8,AMANI MID,76,36,"2,312,036.58",-,"2,312,036.58",Aug-2027,65%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B039L005,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B039L006,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B039L007,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B039L010,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B039L011,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B039L012,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B039L013,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B039L020,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B040L005,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
