UNIT CODE,GEO,PROJECT,PHASE,SUB PHASE,BATCH,UNIT TYPE,LOT AREA,FLOOR AREA,TCP,VAT,TCP w/o VAT,ESTIMATED TURNOVER,HOUSE CON,INVENTORY STATUS,HOLDING STATUS,HOUSE TAGGING,,,,
B044L032,VISMIN,ILOILO,1,,2,AMANI MID,44.00,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B044L036,VISMIN,ILOILO,1,,2,AMANI MID,44,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B044L037,VISMIN,ILOILO,1,,2,AMANI MID,44,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B044L040,VISMIN,ILOILO,1,,2,AMANI MID,44,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B044L041,VISMIN,ILOILO,1,,2,AMANI MID,44,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B044L042,VISMIN,ILOILO,1,,2,AMANI MID,44,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B044L043,VISMIN,ILOILO,1,,2,AMANI MID,44,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B044L044,VISMIN,ILOILO,1,,2,AMANI MID,44,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B044L045,VISMIN,ILOILO,1,,2,AMANI MID,44,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B044L046,VISMIN,ILOILO,1,,2,AMANI MID,44.00,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B044L047,VISMIN,ILOILO,1,,2,AMANI MID,44,36,"1,778,249.34",-,"1,778,249.34",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B047L004,VISMIN,GENSAN,1,,1,AMANI MID,44.00,36,"1,848,063.00",,"1,848,063.00",Apr-2028,0%,REOPEN,RSBS WITHI THIS MONTH,YELLOW TAGGING,,,,
B047L014,VISMIN,GENSAN,1,,1,AMANI MID,44,36,"1,940,467.00",,"1,940,467.00",Mar-2028,0%,REOPEN,RSBS WITHI THIS MONTH,YELLOW TAGGING,,,,
B047L019,VISMIN,GENSAN,1,,1,AMANI MID,44.00,36,"1,940,467.00",,"1,940,467.00",Mar-2028,0%,REOPEN,RSBS WITHI THIS MONTH,YELLOW TAGGING,,,,
B047L020,VISMIN,GENSAN,1,,1,AMANI MID,44,36,"1,940,467.00",,"1,940,467.00",Mar-2028,0%,REOPEN,RSBS WITHI THIS MONTH,YELLOW TAGGING,,,,
B047L021,VISMIN,GENSAN,1,,1,AMANI MID,44.00,36,"1,940,467.00",,"1,940,467.00",Mar-2028,0%,REOPEN,RSBS WITHI THIS MONTH,YELLOW TAGGING,,,,
B049L043,VISMIN,GENSAN,1,,1,AMANI MID,44,36,"1,848,063.00",,"1,848,063.00",Jan-2028,0%,REOPEN,RSBS WITHI THIS MONTH,YELLOW TAGGING,,,,
B049L056,VISMIN,GENSAN,1,,1,AMANI MID,44.00,36,"1,940,467.00",,"1,940,467.00",Jan-2028,0%,REOPEN,RSBS WITHI THIS MONTH,YELLOW TAGGING,,,,
B048L015,VISMIN,GENSAN,1,,1,AMANI MID,44,36,"1,940,467.00",,"1,940,467.00",Mar-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B048L016,VISMIN,GENSAN,1,,1,AMANI MID,44.00,36,"1,940,467.00",,"1,940,467.00",Mar-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B048L017,VISMIN,GENSAN,1,,1,AMANI MID,44.00,36,"1,940,467.00",,"1,940,467.00",Mar-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B048L019,VISMIN,GENSAN,1,,1,AMANI MID,44,36,"1,940,467.00",,"1,940,467.00",Mar-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B048L022,VISMIN,GENSAN,1,,1,AMANI MID,44.00,36,"1,940,467.00",,"1,940,467.00",Feb-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B049L016,VISMIN,GENSAN,1,,1,AMANI MID,44,36,"1,848,063.00",,"1,848,063.00",Feb-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B049L017,VISMIN,GENSAN,1,,1,AMANI MID,44.00,36,"1,848,063.00",,"1,848,063.00",Feb-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B049L019,VISMIN,GENSAN,1,,1,AMANI MID,44,36,"1,848,063.00",,"1,848,063.00",Feb-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B049L021,VISMIN,GENSAN,1,,1,AMANI MID,44.00,36,"1,848,063.00",,"1,848,063.00",Feb-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B049L031,VISMIN,GENSAN,1,,1,AMANI MID,44,36,"1,986,668.00",,"1,986,668.00",Feb-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B049L032,VISMIN,GENSAN,1,,1,AMANI MID,44.00,36,"1,986,668.00",,"1,986,668.00",Feb-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B049L033,VISMIN,GENSAN,1,,1,AMANI MID,44,36,"1,986,668.00",,"1,986,668.00",Feb-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B049L044,VISMIN,GENSAN,1,,1,AMANI MID,44,36,"1,848,063.00",,"1,848,063.00",Jan-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B049L045,VISMIN,GENSAN,1,,1,AMANI MID,44,36,"1,848,063.00",,"1,848,063.00",Jan-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B049L046,VISMIN,GENSAN,1,,1,AMANI MID,44,36,"1,848,063.00",,"1,848,063.00",Jan-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B049L047,VISMIN,GENSAN,1,,1,AMANI MID,44,36,"1,848,063.00",,"1,848,063.00",Jan-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B049L052,VISMIN,GENSAN,1,,1,AMANI MID,44,36,"1,940,467.00",,"1,940,467.00",Jan-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B049L053,VISMIN,GENSAN,1,,1,AMANI MID,44,36,"1,940,467.00",,"1,940,467.00",Jan-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B049L054,VISMIN,GENSAN,1,,1,AMANI MID,44,36,"1,940,467.00",,"1,940,467.00",Jan-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B049L055,VISMIN,GENSAN,1,,1,AMANI MID,44,36,"1,940,467.00",,"1,940,467.00",Jan-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B049L057,VISMIN,GENSAN,1,,1,AMANI MID,44,36,"1,940,467.00",,"1,940,467.00",Jan-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B049L058,VISMIN,GENSAN,1,,1,AMANI MID,44,36,"1,940,467.00",,"1,940,467.00",Jan-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B049L059,VISMIN,GENSAN,1,,1,AMANI MID,44,36,"1,940,467.00",,"1,940,467.00",Jan-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B049L060,VISMIN,GENSAN,1,,1,AMANI MID,44,36,"1,940,467.00",,"1,940,467.00",Jan-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B049L061,VISMIN,GENSAN,1,,1,AMANI MID,44,36,"1,940,467.00",,"1,940,467.00",Jan-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B049L064,VISMIN,GENSAN,1,,1,AMANI MID,44,36,"1,940,467.00",,"1,940,467.00",Jan-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B049L065,VISMIN,GENSAN,1,,1,AMANI MID,44,36,"1,940,467.00",,"1,940,467.00",Jan-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B049L066,VISMIN,GENSAN,1,,1,AMANI MID,44,36,"1,940,467.00",,"1,940,467.00",Jan-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B049L067,VISMIN,GENSAN,1,,1,AMANI MID,44,36,"1,940,467.00",,"1,940,467.00",Jan-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B049L068,VISMIN,GENSAN,1,,1,AMANI MID,44,36,"1,940,467.00",,"1,940,467.00",Jan-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B049L069,VISMIN,GENSAN,1,,1,AMANI MID,44.00,36,"1,940,467.00",,"1,940,467.00",Jan-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B049L070,VISMIN,GENSAN,1,,1,AMANI MID,44.00,36,"1,940,467.00",,"1,940,467.00",Jan-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B049L071,VISMIN,GENSAN,1,,1,AMANI MID,44,36,"1,940,467.00",,"1,940,467.00",Jan-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B049L072,VISMIN,GENSAN,1,,1,AMANI MID,44.00,36,"1,940,467.00",,"1,940,467.00",Jan-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B049L073,VISMIN,GENSAN,1,,1,AMANI MID,44.00,36,"1,940,467.00",,"1,940,467.00",Jan-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B043L027,VISMIN,GENSAN,1,,2,AMANI MID,44.00,36,"1,940,467.00",,"1,940,467.00",Jun-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B044L012,VISMIN,GENSAN,1,,2,AMANI MID,44.00,36,"1,848,063.00",,"1,848,063.00",Jun-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B044L013,VISMIN,GENSAN,1,,2,AMANI MID,44.00,36,"1,848,063.00",,"1,848,063.00",Jun-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B044L020,VISMIN,GENSAN,1,,2,AMANI MID,44.00,36,"1,940,467.00",,"1,940,467.00",May-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B044L025,VISMIN,GENSAN,1,,2,AMANI MID,44.00,36,"1,940,467.00",,"1,940,467.00",May-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B044L026,VISMIN,GENSAN,1,,2,AMANI MID,44.00,36,"1,940,467.00",,"1,940,467.00",May-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B044L027,VISMIN,GENSAN,1,,2,AMANI MID,44.00,36,"1,940,467.00",,"1,940,467.00",May-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B044L029,VISMIN,GENSAN,1,,2,AMANI MID,44.00,36,"1,940,467.00",,"1,940,467.00",May-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B045L004,VISMIN,GENSAN,1,,2,AMANI MID,44.00,36,"1,848,063.00",,"1,848,063.00",May-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B045L005,VISMIN,GENSAN,1,,2,AMANI MID,44.00,36,"1,848,063.00",,"1,848,063.00",May-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B045L006,VISMIN,GENSAN,1,,2,AMANI MID,44,36,"1,848,063.00",,"1,848,063.00",May-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B045L010,VISMIN,GENSAN,1,,2,AMANI MID,44,36,"1,848,063.00",,"1,848,063.00",May-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B045L011,VISMIN,GENSAN,1,,2,AMANI MID,44.00,36,"1,848,063.00",,"1,848,063.00",May-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B045L012,VISMIN,GENSAN,1,,2,AMANI MID,44,36,"1,848,063.00",,"1,848,063.00",May-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B045L016,VISMIN,GENSAN,1,,2,AMANI MID,44.00,36,"1,940,467.00",,"1,940,467.00",Apr-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B045L017,VISMIN,GENSAN,1,,2,AMANI MID,44,36,"1,940,467.00",,"1,940,467.00",Apr-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B045L018,VISMIN,GENSAN,1,,2,AMANI MID,44.00,36,"1,940,467.00",,"1,940,467.00",Apr-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B045L019,VISMIN,GENSAN,1,,2,AMANI MID,44.00,36,"1,940,467.00",,"1,940,467.00",Apr-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B045L023,VISMIN,GENSAN,1,,2,AMANI MID,44,36,"1,940,467.00",,"1,940,467.00",May-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B045L024,VISMIN,GENSAN,1,,2,AMANI MID,44.00,36,"1,940,467.00",,"1,940,467.00",May-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B045L025,VISMIN,GENSAN,1,,2,AMANI MID,44,36,"1,940,467.00",,"1,940,467.00",May-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B045L026,VISMIN,GENSAN,1,,2,AMANI MID,44.00,36,"1,940,467.00",,"1,940,467.00",May-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B045L027,VISMIN,GENSAN,1,,2,AMANI MID,44,36,"1,940,467.00",,"1,940,467.00",May-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B046L002,VISMIN,GENSAN,1,,2,AMANI MID,44.00,36,"1,848,063.00",,"1,848,063.00",Apr-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B046L003,VISMIN,GENSAN,1,,2,AMANI MID,44.00,36,"1,848,063.00",,"1,848,063.00",Apr-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B046L004,VISMIN,GENSAN,1,,2,AMANI MID,44.00,36,"1,848,063.00",,"1,848,063.00",Apr-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B046L005,VISMIN,GENSAN,1,,2,AMANI MID,44,36,"1,848,063.00",,"1,848,063.00",Apr-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B046L006,VISMIN,GENSAN,1,,2,AMANI MID,44.00,36,"1,848,063.00",,"1,848,063.00",Apr-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B046L007,VISMIN,GENSAN,1,,2,AMANI MID,44.00,36,"1,848,063.00",,"1,848,063.00",Apr-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B046L010,VISMIN,GENSAN,1,,2,AMANI MID,44.00,36,"1,848,063.00",,"1,848,063.00",Apr-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B046L011,VISMIN,GENSAN,1,,2,AMANI MID,44.00,36,"1,848,063.00",,"1,848,063.00",Apr-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B046L012,VISMIN,GENSAN,1,,2,AMANI MID,44.00,36,"1,848,063.00",,"1,848,063.00",Apr-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B046L013,VISMIN,GENSAN,1,,2,AMANI MID,44.00,36,"1,848,063.00",,"1,848,063.00",Apr-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B046L020,VISMIN,GENSAN,1,,2,AMANI MID,44.00,36,"1,940,467.00",,"1,940,467.00",Apr-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B046L021,VISMIN,GENSAN,1,,2,AMANI MID,44.00,36,"1,940,467.00",,"1,940,467.00",Apr-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B046L022,VISMIN,GENSAN,1,,2,AMANI MID,44.00,36,"1,940,467.00",,"1,940,467.00",Apr-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B046L023,VISMIN,GENSAN,1,,2,AMANI MID,44.00,36,"1,940,467.00",,"1,940,467.00",Apr-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B046L024,VISMIN,GENSAN,1,,2,AMANI MID,44.00,36,"1,940,467.00",,"1,940,467.00",Apr-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B046L025,VISMIN,GENSAN,1,,2,AMANI MID,44.00,36,"1,940,467.00",,"1,940,467.00",Apr-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L012,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,848,063.42",,"1,848,063.42",Sep-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L013,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,848,063.42",,"1,848,063.42",Sep-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L014,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,848,063.42",,"1,848,063.42",Sep-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L015,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,848,063.42",,"1,848,063.42",Sep-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L018,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,848,063.42",,"1,848,063.42",Sep-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L019,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,848,063.42",,"1,848,063.42",Sep-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L020,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,848,063.42",,"1,848,063.42",Sep-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L021,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,848,063.42",,"1,848,063.42",Sep-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L022,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,848,063.42",,"1,848,063.42",Sep-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L023,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,848,063.42",,"1,848,063.42",Sep-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L024,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,848,063.42",,"1,848,063.42",Sep-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L025,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,848,063.42",,"1,848,063.42",Sep-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L026,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,848,063.42",,"1,848,063.42",Sep-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L027,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,848,063.42",,"1,848,063.42",Sep-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L030,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,848,063.42",,"1,848,063.42",Aug-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L031,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,848,063.42",,"1,848,063.42",Aug-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L032,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,848,063.42",,"1,848,063.42",Aug-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L036,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,986,668.17",,"1,986,668.17",Aug-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L038,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,986,668.17",,"1,986,668.17",Aug-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L039,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,986,668.17",,"1,986,668.17",Aug-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L043,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,986,668.17",,"1,986,668.17",Aug-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L044,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,986,668.17",,"1,986,668.17",Aug-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L045,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,986,668.17",,"1,986,668.17",Aug-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L046,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,986,668.17",,"1,986,668.17",Aug-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L047,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,986,668.17",,"1,986,668.17",Aug-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L048,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,986,668.17",,"1,986,668.17",Aug-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L049,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,986,668.17",,"1,986,668.17",Aug-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L050,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,986,668.17",,"1,986,668.17",Aug-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L051,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,986,668.17",,"1,986,668.17",Aug-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L054,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,986,668.17",,"1,986,668.17",Aug-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L055,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,986,668.17",,"1,986,668.17",Aug-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L056,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,986,668.17",,"1,986,668.17",Aug-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L057,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,986,668.17",,"1,986,668.17",Aug-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L058,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,986,668.17",,"1,986,668.17",Aug-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L059,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,986,668.17",,"1,986,668.17",Aug-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L060,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,986,668.17",,"1,986,668.17",Aug-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L061,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,986,668.17",,"1,986,668.17",Aug-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L005,VISMIN,GENSAN,1,,3,DUA,77,48,"3,186,964.35",,"3,186,964.35",Sep-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L025,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,940,466.59",,"1,940,466.59",Jul-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L026,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,940,466.59",,"1,940,466.59",Jul-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L029,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,940,466.59",,"1,940,466.59",Jul-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L030,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"2,032,869.76",,"2,032,869.76",Jul-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L031,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"2,032,869.76",,"2,032,869.76",Jul-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L032,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,940,466.59",,"1,940,466.59",Jul-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L033,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,940,466.59",,"1,940,466.59",Jul-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L036,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,940,466.59",,"1,940,466.59",Jul-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L038,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,940,466.59",,"1,940,466.59",Jul-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L039,VISMIN,GENSAN,1,,3,AMANI MID,44,36,"1,940,466.59",,"1,940,466.59",Jul-2028,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B034L002,VISMIN,GENSAN,1,,12,DUA,85,48,"3,831,033.82",-,"3,831,033.82",Oct-2030,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B034L003,VISMIN,GENSAN,1,,12,DUA,85,48,"3,831,033.82",-,"3,831,033.82",Oct-2030,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B034L004,VISMIN,GENSAN,1,,12,DUA,85,48,"3,831,033.82",-,"3,831,033.82",Oct-2030,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B034L005,VISMIN,GENSAN,1,,12,DUA,85,48,"3,831,033.82",-,"3,831,033.82",Oct-2030,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B034L006,VISMIN,GENSAN,1,,12,DUA,77,48,"3,646,205.53",-,"3,646,205.53",Oct-2030,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B034L007,VISMIN,GENSAN,1,,12,DUA,77,48,"3,810,840.47",-,"3,810,840.47",Oct-2030,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B034L009,VISMIN,GENSAN,1,,12,DUA,77,48,"3,646,205.53",-,"3,646,205.53",Oct-2030,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B034L010,VISMIN,GENSAN,1,,12,DUA,77,48,"3,646,205.53",-,"3,646,205.53",Oct-2030,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B034L011,VISMIN,GENSAN,1,,12,DUA,77,48,"3,646,205.53",-,"3,646,205.53",Oct-2030,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B034L012,VISMIN,GENSAN,1,,12,DUA,85,48,"3,831,034",-,"3,831,033.82",Oct-2030,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B034L013,VISMIN,GENSAN,1,,12,DUA,85.00,48.00,"3,831,033.82",-,"3,831,033.82",Oct-2030,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
