UNIT CODE,COM,GEO,PROJECT,PHASE,SUB PHASE,BATCH,UNIT TYPE,LOT AREA,FLOOR AREA,TCP,VAT,TCP w/o VAT,ESTIMATED TURNOVER DATE,S HOUSECON,SU & INVENTORY,APPLICABLE TERM,HOUSE CON TAG,,
B025L016,PPHI,SOMA2,TAYABAS,3,B,1,UNNA REGULAR,96,54,"3,541,785.00",0.00,"3,541,785.00",LOI,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B025L017,PPHI,SOMA2,TAYABAS,3,B,1,UNNA REGULAR,96,54,"3,541,785.00",0.00,"3,541,785.00",LOI,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B025L018,PPHI,SOMA2,TAYABAS,3,B,1,UNNA REGULAR,96,54,"3,541,785.00",0.00,"3,541,785.00",LOI,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B025L019,PPHI,SOMA2,TAYABAS,3,B,1,UNNA REGULAR,96,54,"3,541,785.00",0.00,"3,541,785.00",LOI,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B025L020,PPHI,SOMA2,TAYABAS,3,B,1,UNNA REGULAR,96,54,"3,541,785.00",0.00,"3,541,785.00",LOI,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B025L021,PPHI,SOMA2,TAYABAS,3,B,1,UNNA REGULAR,108,54,"3,738,779.00",0.00,"3,738,779.00",LOI,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B025L022,PPHI,SOMA2,TAYABAS,3,B,1,UNNA REGULAR,108,54,"3,738,779.00",0.00,"3,738,779.00",LOI,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B025L023,PPHI,SOMA2,TAYABAS,3,B,1,UNNA REGULAR,108,54,"3,738,779.00",0.00,"3,738,779.00",LOI,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B025L024,PPHI,SOMA2,TAYABAS,3,B,1,UNNA CORNER,141,54,"4,970,601.00","497,068.01","4,473,532.99",LOI,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B034L001,PPHI,SOMA2,TAYABAS,3,B,1,UNNA CORNER,153,54,"6,359,517.00","635,958.95","5,723,558.05",LOI,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B034L002,PPHI,SOMA2,TAYABAS,3,B,1,UNNA REGULAR,108,54,"4,967,223.00","496,727.52","4,470,495.48",LOI,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B034L003,PPHI,SOMA2,TAYABAS,3,B,1,UNNA REGULAR,108,54,"4,967,223.00","496,727.52","4,470,495.48",LOI,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B034L004,PPHI,SOMA2,TAYABAS,3,B,1,UNNA REGULAR,96,54,"3,600,701.00",0.00,"3,600,701.00",LOI,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B034L005,PPHI,SOMA2,TAYABAS,3,B,1,UNNA REGULAR,110,54,"3,839,044.00",0.00,"3,839,044.00",LOI,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B034L007,PPHI,SOMA2,TAYABAS,3,B,1,UNNA REGULAR,99,54,"4,675,937.00","467,596.86","4,208,340.14",LOI,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B034L008,PPHI,SOMA2,TAYABAS,3,B,1,UNNA REGULAR,102,54,"4,751,406.00","475,147.08","4,276,258.92",LOI,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B034L009,PPHI,SOMA2,TAYABAS,3,B,1,UNNA REGULAR,106,54,"4,852,064.00","485,214.04","4,366,849.96",LOI,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B034L010,PPHI,SOMA2,TAYABAS,3,B,1,UNNA CORNER,155,54,"6,321,156.00","632,116.72","5,689,039.28",LOI,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B034L027,PPHI,SOMA2,TAYABAS,3,B,1,UNNA REGULAR,111,54,"3,796,212.00",0,"3,796,212.00",LOI,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B034L028,PPHI,SOMA2,TAYABAS,3,B,1,UNNA REGULAR,96,54,"3,548,801.00",0,"3,548,801.00",LOI,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B034L030,PPHI,SOMA2,TAYABAS,3,B,1,UNNA REGULAR,96,54,"3,548,801.00",0,"3,548,801.00",LOI,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B034L031,PPHI,SOMA2,TAYABAS,3,B,1,UNNA CORNER,148,54,"6,134,289.00","613,434.53","5,520,854.47",LOI,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B035L001,PPHI,SOMA2,TAYABAS,3,B,1,UNNA CORNER,135,54,"5,787,364.00","578,739.03","5,208,624.97",LOI,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B035L002,PPHI,SOMA2,TAYABAS,3,B,1,UNNA REGULAR,88,54,"4,399,052.00","439,912.73","3,959,139.27",LOI,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B035L003,PPHI,SOMA2,TAYABAS,3,B,1,UNNA REGULAR,88,54,"4,399,052.00","439,912.73","3,959,139.27",LOI,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B035L004,PPHI,SOMA2,TAYABAS,3,B,1,UNNA REGULAR,88,54,"4,399,052.00","439,912.73","3,959,139.27",LOI,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B035L005,PPHI,SOMA2,TAYABAS,3,B,1,UNNA REGULAR,88,54,"4,399,052.00","439,912.73","3,959,139.27",LOI,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B035L006,PPHI,SOMA2,TAYABAS,3,B,1,UNNA REGULAR,88,54,"3,416,961.00",0.00,"3,416,961.00",LOI,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B035L007,PPHI,SOMA2,TAYABAS,3,B,1,UNNA REGULAR,88,54,"3,416,961.00",0.00,"3,416,961.00",LOI,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B035L008,PPHI,SOMA2,TAYABAS,3,B,1,UNNA CORNER,131,54,"4,783,725.00","478,374.11","4,305,350.89",LOI,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B068L002,PPHI,SOMA2,TAYABAS,3,B,1,UNNA REGULAR,104,54,"3,886,769.00",0.00,"3,886,769.00",LOI,60%,60%,OPEN,RSBS WITHIN THE MONTH/RSBS WITHIN 30 DAYS,RED TAG,
B068L003,PPHI,SOMA2,TAYABAS,3,B,1,UNNA REGULAR,104,54,"3,886,769.00",0.00,"3,886,769.00",LOI,60%,60%,OPEN,RSBS WITHIN THE MONTH/RSBS WITHIN 30 DAYS,RED TAG,
B068L004,PPHI,SOMA2,TAYABAS,3,B,1,UNNA REGULAR,104,54,"3,886,769.00",0.00,"3,886,769.00",LOI,60%,60%,OPEN,RSBS WITHIN THE MONTH/RSBS WITHIN 30 DAYS,RED TAG,
B068L005,PPHI,SOMA2,TAYABAS,3,B,1,UNNA REGULAR,104,54,"3,886,769.00",0.00,"3,886,769.00",LOI,60%,60%,OPEN,RSBS WITHIN THE MONTH/RSBS WITHIN 30 DAYS,RED TAG,
B068L006,PPHI,SOMA2,TAYABAS,3,B,1,UNNA REGULAR,104,54,"3,886,769.00",0.00,"3,886,769.00",LOI,60%,60%,OPEN,RSBS WITHIN THE MONTH/RSBS WITHIN 30 DAYS,RED TAG,
B068L007,PPHI,SOMA2,TAYABAS,3,B,1,UNNA REGULAR,111,54,"4,462,208.00","446,229.42","4,015,978.58",LOI,60%,60%,OPEN,RSBS WITHIN THE MONTH/RSBS WITHIN 30 DAYS,RED TAG,
B068L008,PPHI,SOMA2,TAYABAS,3,B,1,UNNA REGULAR,104,54,"3,886,769.00",0.00,"3,886,769.00",LOI,60%,60%,OPEN,RSBS WITHIN THE MONTH/RSBS WITHIN 30 DAYS,RED TAG,
B068L009,PPHI,SOMA2,TAYABAS,3,B,1,UNNA REGULAR,104,54,"3,886,769.00",0.00,"3,886,769.00",LOI,60%,60%,OPEN,RSBS WITHIN THE MONTH/RSBS WITHIN 30 DAYS,RED TAG,
B068L010,PPHI,SOMA2,TAYABAS,3,B,1,UNNA REGULAR,104,54,"3,886,769.00",0.00,"3,886,769.00",LOI,60%,60%,OPEN,RSBS WITHIN THE MONTH/RSBS WITHIN 30 DAYS,RED TAG,
B068L011,PPHI,SOMA2,TAYABAS,3,B,1,UNNA REGULAR,104,54,"3,886,769.00",0.00,"3,886,769.00",LOI,60%,60%,OPEN,RSBS WITHIN THE MONTH/RSBS WITHIN 30 DAYS,RED TAG,
B068L012,PPHI,SOMA2,TAYABAS,3,B,1,UNNA REGULAR,104,54,"3,886,769.00",0.00,"3,886,769.00",LOI,60%,60%,OPEN,RSBS WITHIN THE MONTH/RSBS WITHIN 30 DAYS,RED TAG,
B068L013,PPHI,SOMA2,TAYABAS,3,B,1,UNNA REGULAR,104,54,"3,886,769.00",0.00,"3,886,769.00",LOI,60%,60%,OPEN,RSBS WITHIN THE MONTH/RSBS WITHIN 30 DAYS,RED TAG,
B068L014,PPHI,SOMA2,TAYABAS,3,B,1,UNNA REGULAR,104,54,"3,886,769.00",0.00,"3,886,769.00",LOI,60%,60%,OPEN,RSBS WITHIN THE MONTH/RSBS WITHIN 30 DAYS,RED TAG,
B068L015,PPHI,SOMA2,TAYABAS,3,B,1,UNNA REGULAR,104,54,"3,886,769.00",0.00,"3,886,769.00",LOI,60%,60%,OPEN,RSBS WITHIN THE MONTH/RSBS WITHIN 30 DAYS,RED TAG,
B068L016,PPHI,SOMA2,TAYABAS,3,B,1,UNNA REGULAR,104,54,"3,886,769.00",0.00,"3,886,769.00",LOI,60%,60%,OPEN,RSBS WITHIN THE MONTH/RSBS WITHIN 30 DAYS,RED TAG,
B068L017,PPHI,SOMA2,TAYABAS,3,B,1,UNNA REGULAR,104,54,"3,886,769.00",0.00,"3,886,769.00",LOI,60%,60%,OPEN,RSBS WITHIN THE MONTH/RSBS WITHIN 30 DAYS,RED TAG,
B068L018,PPHI,SOMA2,TAYABAS,3,B,1,UNNA CORNER,130,54,"5,049,927.00","504,999.29","4,544,927.71",LOI,60%,60%,OPEN,RSBS WITHIN THE MONTH/RSBS WITHIN 30 DAYS,RED TAG,
B023L071,PPHI,SOMA 2,CALAMBA WEST,1,A,5,CALISTA END,127,40,"4,196,551.00",0.00,"4,196,551.00",Oct-2027,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B019L054,PPHI,NOMA2,BALANGA,1,B,3,CALISTA MID,44,40,"1,809,966.00",0.00,"1,809,966.00",May-2025,92%,80%,REOPEN,RSBS WITHIN THE MONTH,RED TAG,
B059L082,PPHI,SOMA2,SIGHTS CALAUAN,1,,2,AMANI MID,44,36,"1,723,728.04",0.00,"1,723,728.04",Jul-2027,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B062L044,PPHI,SOMA2,TAYABAS,2,A,3,CALISTA MID,44,40,"1,910,084.00",0.00,"1,910,084.00",Dec-2025,93%,80%,REOPEN,RSBS WITHIN THE MONTH,RED TAG,
B024L046,PPHI,NOMA2,IMPRESSIONS HERMOSA,1,A,4,CALISTA MID,44,40,"2,171,361.67",0.00,"2,171,361.67",Oct-2025,82%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B024L058,PPHI,NOMA2,IMPRESSIONS HERMOSA,1,A,4,CALISTA MID,44,40,"2,067,920.64",0.00,"2,067,920.64",Oct-2025,78%,60%,OPEN,RSBS WITHIN THE MONTH/RSBS WITHIN 30 DAYS,RED TAG,
B013L040,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Nov-2026,68%,60%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B013L041,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Nov-2026,71%,60%,OPEN,MEMO TERM,RED TAG,
B013L044,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Nov-2026,70%,60%,OPEN,MEMO TERM,RED TAG,
B014L017,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Dec-2026,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B014L021,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Dec-2026,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B014L026,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Dec-2026,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B014L027,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Dec-2026,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B014L028,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Dec-2026,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B014L029,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Dec-2026,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B014L030,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Dec-2026,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B014L031,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Dec-2026,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B014L032,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Dec-2026,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B014L036,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Dec-2026,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B014L037,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Dec-2026,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B014L038,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Dec-2026,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B014L039,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Dec-2026,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B014L040,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Dec-2026,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B014L041,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Dec-2026,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B014L042,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Dec-2026,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B014L046,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Dec-2026,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B014L047,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Dec-2026,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B014L048,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Dec-2026,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B014L049,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Dec-2026,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B014L050,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Dec-2026,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B014L051,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Dec-2026,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B014L052,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Dec-2026,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B014L053,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Dec-2026,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B014L054,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Dec-2026,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B014L057,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Dec-2026,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B014L058,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Dec-2026,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B014L059,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Dec-2026,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B014L060,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Dec-2026,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B014L061,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Dec-2026,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B014L062,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Dec-2026,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B014L063,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Dec-2026,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B014L072,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Jan-2027,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B015L009,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Jan-2027,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B015L010,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Jan-2027,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B015L011,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Jan-2027,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B015L012,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Jan-2027,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B015L013,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Jan-2027,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B015L024,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Jan-2027,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B015L026,PPHI,SOMA 2,SIGHTS BAY,3,,3,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Jan-2027,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B015L035,PPHI,SOMA 2,SAN PABLO EAST,1,,3,CALISTA MID,44,40,"1,938,427.36",0.00,"1,938,427.36",Jun-2027,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B063L007,PPHI,SOMA 2,TAYABAS,2,A,4,CALISTA MID,44,40,"1,837,093.00",0.00,"1,837,093.00",Apr-2026,90%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B063L009,PPHI,SOMA 2,TAYABAS,2,A,4,CALISTA MID,44,40,"1,837,093.00",0.00,"1,837,093.00",Apr-2026,90%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B063L010,PPHI,SOMA 2,TAYABAS,2,A,4,CALISTA MID,44,40,"1,837,093.00",0.00,"1,837,093.00",Apr-2026,86%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B047L006,PPHI,SOMA2,SIGHTS CALAUAN,1,4A,4,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Feb-2028,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B047L014,PPHI,SOMA2,SIGHTS CALAUAN,1,4A,4,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Feb-2028,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B047L015,PPHI,SOMA2,SIGHTS CALAUAN,1,4A,4,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Feb-2028,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B047L016,PPHI,SOMA2,SIGHTS CALAUAN,1,4A,4,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Feb-2028,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B047L017,PPHI,SOMA2,SIGHTS CALAUAN,1,4A,4,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Feb-2028,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B047L018,PPHI,SOMA2,SIGHTS CALAUAN,1,4A,4,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Feb-2028,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B047L022,PPHI,SOMA2,SIGHTS CALAUAN,1,4A,4,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Feb-2028,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B047L024,PPHI,SOMA2,SIGHTS CALAUAN,1,4A,4,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Feb-2028,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B047L030,PPHI,SOMA2,SIGHTS CALAUAN,1,4A,4,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Feb-2028,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B047L031,PPHI,SOMA2,SIGHTS CALAUAN,1,4A,4,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Feb-2028,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B047L034,PPHI,SOMA2,SIGHTS CALAUAN,1,4A,4,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Feb-2028,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B047L035,PPHI,SOMA2,SIGHTS CALAUAN,1,4A,4,AMANI MID,40,36,"1,669,330.69",0,"1,669,330.69",Feb-2028,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B047L036,PPHI,SOMA2,SIGHTS CALAUAN,1,4A,4,AMANI MID,40,36,"1,669,330.69",0,"1,669,330.69",Feb-2028,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B047L037,PPHI,SOMA2,SIGHTS CALAUAN,1,4A,4,AMANI MID,40,36,"1,669,330.69",0,"1,669,330.69",Feb-2028,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B047L038,PPHI,SOMA2,SIGHTS CALAUAN,1,4A,4,AMANI MID,40,36,"1,669,330.69",0,"1,669,330.69",Feb-2028,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B047L039,PPHI,SOMA2,SIGHTS CALAUAN,1,4A,4,AMANI MID,40,36,"1,669,330.69",0,"1,669,330.69",Feb-2028,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B047L040,PPHI,SOMA2,SIGHTS CALAUAN,1,4A,4,AMANI MID,40,36,"1,669,330.69",0,"1,669,330.69",Feb-2028,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B047L041,PPHI,SOMA2,SIGHTS CALAUAN,1,4A,4,AMANI MID,40,36,"1,669,330.69",0,"1,669,330.69",Feb-2028,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B047L044,PPHI,SOMA2,SIGHTS CALAUAN,1,4A,4,AMANI MID,40,36,"1,669,330.69",0,"1,669,330.69",Jan-2028,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B047L045,PPHI,SOMA2,SIGHTS CALAUAN,1,4A,4,AMANI MID,40,36,"1,669,330.69",0,"1,669,330.69",Jan-2028,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B047L046,PPHI,SOMA2,SIGHTS CALAUAN,1,4A,4,AMANI MID,40,36,"1,669,330.69",0,"1,669,330.69",Jan-2028,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B047L047,PPHI,SOMA2,SIGHTS CALAUAN,1,4A,4,AMANI MID,40,36,"1,669,330.69",0,"1,669,330.69",Jan-2028,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B047L048,PPHI,SOMA2,SIGHTS CALAUAN,1,4A,4,AMANI MID,40,36,"1,669,330.69",0,"1,669,330.69",Jan-2028,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B047L049,PPHI,SOMA2,SIGHTS CALAUAN,1,4A,4,AMANI MID,40,36,"1,669,330.69",0,"1,669,330.69",Jan-2028,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B032L004,PPHI,SOMA 2,CALAMBA WEST,1,B,1,CALISTA END,135,40,"4,687,015.00",0,"4,687,015.00",Jan-2028,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B034L006,PPHI,SOMA 2,CALAMBA WEST,1,B,1,CALISTA END,153,40,"4,893,486.00",0,"4,893,486.00",Jan-2028,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B035L003,PPHI,SOMA 2,CALAMBA WEST,1,B,1,CALISTA MID,44,40,"2,255,435.00",0,"2,255,435.00",Jan-2028,3%,3%,OPEN,MEMO TERM,YELLOW TAG,
B007L004,PPHI,SOMA2,SIGHTS CALAUAN,1,,4,ALORA END,169,30,"3,148,034.44",0,"3,148,034.44",Oct-2026,0%,0%,FALLOUT,RSBS WITHIN THE MONTH,YELLOW TAG,
B050L006,PPHI,SOMA2,SIGHTS CALAUAN,1,3A,3,AMANI MID,40,36,"1,669,330.69",0,"1,669,330.69",Oct-2027,0%,0%,FALLOUT,MEMO TERM,YELLOW TAG,
B050L019,PPHI,SOMA2,SIGHTS CALAUAN,1,3A,3,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Oct-2027,0%,0%,FALLOUT,MEMO TERM,YELLOW TAG,
B050L038,PPHI,SOMA2,SIGHTS CALAUAN,1,3A,3,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Oct-2027,0%,0%,FALLOUT,MEMO TERM,YELLOW TAG,
B050L045,PPHI,SOMA2,SIGHTS CALAUAN,1,3A,3,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Oct-2027,0%,0%,FALLOUT,MEMO TERM,YELLOW TAG,
B049L045,PPHI,SOMA2,SIGHTS CALAUAN,1,3B,3,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Aug-2027,0%,0%,FALLOUT,MEMO TERM,YELLOW TAG,
