Unit Code,GEO,PROJECT,PHASE,SUB PHASE,BATCH,UNIT TYPE,LOT AREA,FLOOR AREA,TCP,VAT,TCP w/o VAT,ETD,S HOUSECON,SU & INVENTORY,APPLICABLE TERM,HOUSECON REMARKS,
B009L005,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,48,40,"2,597,286.00",-,"2,597,286.00",May-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B009L006,NOMA1,BALIWAG EXPANSION,5,,B3,CALISTA END,66,40,"3,299,878.00",-,"3,299,878.00",May-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B009L010,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,48,40,"2,597,286.00",-,"2,597,286.00",May-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B009L011,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,48,40,"2,597,286.00",-,"2,597,286.00",May-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B009L012,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,48,40,"2,597,286.00",-,"2,597,286.00",May-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B009L013,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,48,40,"2,597,286.00",-,"2,597,286.00",May-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B009L014,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,48,40,"2,597,286.00",-,"2,597,286.00",May-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B009L017,NOMA1,BALIWAG EXPANSION,5,,B3,Calista End,66,40,"3,299,878.00",-,"3,299,878.00",May-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B009L018,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,48,40,"2,597,286.00",-,"2,597,286.00",May-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B009L019,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,48,40,"2,597,286.00",-,"2,597,286.00",May-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B009L020,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,48,40,"2,597,286.00",-,"2,597,286.00",May-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B009L021,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,48,40,"2,597,286.00",-,"2,597,286.00",May-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B009L022,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,48,40,"2,597,286.00",-,"2,597,286.00",May-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B009L023,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,48,40,"2,597,286.00",-,"2,597,286.00",May-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B009L024,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,48,40,"2,597,286.00",-,"2,597,286.00",May-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B009L025,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,48,40,"2,597,286.00",-,"2,597,286.00",May-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B009L026,NOMA1,BALIWAG EXPANSION,5,,B3,Calista End,66,40,"3,299,878.00",-,"3,299,878.00",May-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B009L032,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,48,40,"2,597,286.00",-,"2,597,286.00",Sep-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B009L033,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,48,40,"2,597,286.00",-,"2,597,286.00",Sep-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B009L034,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,48,40,"2,597,286.00",-,"2,597,286.00",Sep-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B009L035,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,48,40,"2,597,286.00",-,"2,597,286.00",Sep-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B009L039,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,48,40,"2,597,286.00",-,"2,597,286.00",Sep-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B009L040,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,48,40,"2,597,286.00",-,"2,597,286.00",Sep-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B009L041,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,48,40,"2,597,286.00",-,"2,597,286.00",Sep-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B009L042,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,48,40,"2,597,286.00",-,"2,597,286.00",Sep-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B009L043,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,48,40,"2,597,286.00",-,"2,597,286.00",Sep-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B009L044,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,48,40,"2,597,286.00",-,"2,597,286.00",Sep-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B009L045,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,48,40,"2,597,286.00",-,"2,597,286.00",Sep-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B009L048,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,48,40,"2,597,286.00",-,"2,597,286.00",Sep-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B009L049,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,48,40,"2,597,286.00",-,"2,597,286.00",Sep-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B009L050,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,48,40,"2,597,286.00",-,"2,597,286.00",Sep-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B009L051,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,48,40,"2,597,286.00",-,"2,597,286.00",Sep-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B009L052,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,48,40,"2,597,286.00",-,"2,597,286.00",Sep-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B009L053,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,48,40,"2,597,286.00",-,"2,597,286.00",Sep-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B009L054,NOMA1,BALIWAG EXPANSION,5,,B3,Calista Mid,48,40,"2,597,286.00",-,"2,597,286.00",Sep-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B001L016,NOMA1,PANDI EXPANSION,4,B,5,CALISTA MID,48,40,"2,717,385.00",-,"2,717,385.00",Aug-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B001L017,NOMA1,PANDI EXPANSION,4,B,5,CALISTA MID,48,40,"2,717,385.00",-,"2,717,385.00",Aug-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B001L018,NOMA1,PANDI EXPANSION,4,B,5,CALISTA MID,48,40,"2,717,385.00",-,"2,717,385.00",Aug-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B001L019,NOMA1,PANDI EXPANSION,4,B,5,CALISTA MID,48,40,"2,717,385.00",-,"2,717,385.00",Aug-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B001L020,NOMA1,PANDI EXPANSION,4,B,5,CALISTA MID,48,40,"2,717,385.00",-,"2,717,385.00",Aug-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B001L023,NOMA1,PANDI EXPANSION,4,B,5,CALISTA END,66,40,"3,458,949.00",-,"3,458,949.00",Aug-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B001L024,NOMA1,PANDI EXPANSION,4,B,5,CALISTA END,66,40,"3,458,949.00",-,"3,458,949.00",Aug-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B001L027,NOMA1,PANDI EXPANSION,4,B,5,CALISTA END,90,40,"4,332,401.00",-,"4,332,401.00",Aug-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B001L036,NOMA1,PANDI EXPANSION,4,B,5,CALISTA END,93,40,"4,012,509.00",-,"4,012,509.00",Jul-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B001L043,NOMA1,PANDI EXPANSION,4,B,5,CALISTA END,130,40,"5,097,207.00",-,"5,097,207.00",Jul-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B003L004,NOMA1,PANDI EXPANSION,4,B,5,CALISTA END CORNER,131,40,"5,330,481.00",-,"5,330,481.00",Aug-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B004L004,NOMA1,PANDI EXPANSION,4,B,5,CALISTA MID,48,40,"2,551,615.00",-,"2,551,615.00",Jul-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B004L005,NOMA1,PANDI EXPANSION,4,B,5,CALISTA MID,48,40,"2,551,615.00",-,"2,551,615.00",Jul-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B004L008,NOMA1,PANDI EXPANSION,4,B,5,CALISTA MID,48,40,"2,551,615.00",-,"2,551,615.00",Aug-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B004L009,NOMA1,PANDI EXPANSION,4,B,5,CALISTA MID,48,40,"2,551,615.00",-,"2,551,615.00",Aug-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B004L012,NOMA1,PANDI EXPANSION,4,B,5,CALISTA END CORNER,105,40,"4,407,538.00",-,"4,407,538.00",Aug-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B001L002,SOMA1,GEN TRI,3,B,4,UNNA CORNER,141,54,"6,077,000.00","607,703.54","5,469,296.46",Jun-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B001L004,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,104,54,"5,031,418","503,144.80","4,528,273",Jun-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B001L005,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,104,54,"5,031,418","503,144.80","4,528,273",Jun-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B001L006,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,117,54,"5,330,001","533,003.65","4,796,997",Jun-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B001L026,SOMA1,GEN TRI,3,B,4,UNNA CORNER,149,54,"5,867,600","586,767.87","5,280,832",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B001L027,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,100,54,"4,619,356.00","461,941.70","4,157,414.30",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B001L028,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,100,54,"4,619,356.00","461,941.70","4,157,414.30",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B001L030,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,100,54,"4,710,831.00","471,089.06","4,239,741.94",May-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B001L031,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,100,54,"4,710,831.00","471,089.06","4,239,741.94",May-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B001L032,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,100,54,"4,710,831.00","471,089.06","4,239,741.94",May-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B001L033,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,100,54,"4,710,831.00","471,089.06","4,239,741.94",May-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B001L034,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,100,54,"4,710,831.00","471,089.06","4,239,741.94",May-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B001L035,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,100,54,"4,710,831.00","471,089.06","4,239,741.94",May-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B001L036,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,100,54,"4,710,831.00","471,089.06","4,239,741.94",May-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B001L037,SOMA1,GEN TRI,3,B,4,UNNA CORNER,149,54,"5,979,928.00","597,999.40","5,381,928.60",May-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B002L001,SOMA1,GEN TRI,3,B,4,UNNA CORNER,132,54,"5,870,266.00","587,032.02","5,283,233.98",May-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B002L002,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,106,54,"5,077,292.00","507,738.47","4,569,553.53",May-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B002L003,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,106,54,"5,077,292.00","507,738.47","4,569,553.53",May-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B002L004,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,94,54,"4,801,747.00","480,176.46","4,321,570.54",Jun-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B002L006,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,94,54,"4,801,747.00","480,176.46","4,321,570.54",Jun-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B002L007,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,94,54,"4,801,747","480,176.46","4,321,571",Jun-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B002L008,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,94,54,"4,801,747","480,176.46","4,321,571",Jun-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B002L009,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,94,54,"4,801,747","480,176.46","4,321,571",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B002L010,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,94,54,"4,801,747","480,176.46","4,321,571",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B002L011,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,94,54,"4,801,747","480,176.46","4,321,571",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B002L013,SOMA1,GEN TRI,3,B,4,UNNA CORNER,128,54,"5,519,890","551,998.91","4,967,891",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B002L014,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,94,54,"4,579,363","457,946.07","4,121,417",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B002L015,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,94,54,"4,579,363","457,946.07","4,121,417",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B002L016,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,94,54,"4,579,363","457,946.07","4,121,417",May-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B002L017,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,94,54,"4,579,363","457,946.07","4,121,417",May-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B002L018,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,94,54,"4,579,363","457,946.07","4,121,417",May-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B002L019,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,94,54,"4,579,363","457,946.07","4,121,417",May-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B002L022,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,94,54,"4,579,363","457,946.07","4,121,417",Jun-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B002L024,SOMA1,GEN TRI,3,B,4,UNNA CORNER,128,54,"5,519,890","551,998.91","4,967,891",Jun-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B003L002,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,102,54,"4,662,351","466,237.63","4,196,113",May-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B003L003,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,102,54,"4,662,351","466,237.63","4,196,113",May-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B003L004,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,118,54,"5,006,014","500,605.09","4,505,409",May-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B005L002,SOMA1,GEN TRI,3,B,4,UNNA CORNER,141,54,"6,077,000","607,703.54","5,469,296",Mar-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B005L003,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,104,54,"5,031,418","503,144.80","4,528,273",Mar-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B005L005,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,104,54,"5,031,418","503,144.80","4,528,273",Mar-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B005L006,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,117,54,"5,330,001","533,003.65","4,796,997",Mar-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B005L007,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,113,54,"5,141,116","514,116.01","4,627,000",Mar-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B005L009,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,113,54,"4,898,576","489,865.26","4,408,711",Mar-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B005L010,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,113,54,"4,898,576.00","489,865.26","4,408,710.74",Mar-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B005L012,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,113,54,"4,898,576.00","489,865.26","4,408,710.74",May-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B005L013,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,113,54,"4,898,576.00","489,865.26","4,408,710.74",May-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B005L014,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,113,54,"5,141,116.00","514,116.01","4,626,999.99",May-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B005L015,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,113,54,"5,141,116.00","514,116.01","4,626,999.99",May-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B005L016,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,100,54,"4,848,094.00","484,810.10","4,363,283.90",May-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L001,SOMA1,GEN TRI,3,B,4,UNNA CORNER,139,54,"5,760,881.00","576,094.40","5,184,786.60",Mar-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L002,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,121,54,"5,170,869.00","517,089.56","4,653,779.44",Mar-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L003,SOMA1,GEN TRI,3,B,4,UNNA CORNER,133,54,"5,629,513.00","562,951.40","5,066,561.60",Mar-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L004,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,101,54,"4,732,776.00","473,279.56","4,259,496.44",Mar-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L005,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,99,54,"4,688,887.00","468,898.56","4,219,988.44",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L006,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,99,54,"4,688,887.00","468,898.56","4,219,988.44",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L007,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,99,54,"4,688,887.00","468,898.56","4,219,988.44",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L008,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,97,54,"4,645,097.00","464,517.56","4,180,579.44",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L010,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,99,54,"4,688,887.00","468,898.56","4,219,988.44",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L011,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,129,54,"5,242,239.00","524,232.71","4,718,006.29",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L012,SOMA1,GEN TRI,3,B,4,UNNA CORNER,177,54,"6,779,593.00","677,967.11","6,101,625.89",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L013,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,152,54,"6,020,282.00","602,033.74","5,418,248.26",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L014,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,148,54,"6,042,052.00","604,205.53","5,437,846.47",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L015,SOMA1,GEN TRI,3,B,4,UNNA CORNER,134,54,"5,916,240.00","591,625.69","5,324,614.31",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B005L019,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,100,54,"4,619,356.00","461,941.70","4,157,414.30",Jun-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B005L020,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,167,54,"6,058,550.00","605,855.40","5,452,694.60",Jun-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L016,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,146,54,"5,718,486.00","571,852.05","5,146,633.95",Jun-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L017,SOMA1,GEN TRI,3,B,4,UNNA CORNER,146,54,"6,191,785.00","619,187.71","5,572,597.29",Jun-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L018,SOMA1,GEN TRI,3,B,4,UNNA CORNER,146,54,"5,914,194.00","591,427.90","5,322,766.10",Jun-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L019,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,142,54,"5,630,807.00","563,090.05","5,067,716.95",Jun-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L020,SOMA1,GEN TRI,3,B,4,UNNA REGULAR,133,54,"5,433,705.00","543,375.55","4,890,329.45",Jun-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B007L021,SOMA1,GEN TRI,3,B,4,UNNA CORNER,145,54,"5,892,349.00","589,237.40","5,303,111.60",Jun-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B043L021,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA END,121,40,"5,175,746.36","517,579.97","4,658,166.40",Oct-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B043L028,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA END CORNER,178,40,"6,889,511.58","688,951.24","6,200,560.34",Oct-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B044L001,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA END CORNER,183,40,"7,105,995.82","710,603.12","6,395,392.70",Oct-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B044L015,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA MID,60,40,"2,916,677.60",-,"2,916,677.60",Oct-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B044L017,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA MID,60,40,"2,916,677.60",-,"2,916,677.60",Oct-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B044L018,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA MID,60,40,"2,916,677.60",-,"2,916,677.60",Oct-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B044L020,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA END CORNER,149,40,"6,103,501.04","610,350.11","5,493,150.92",Oct-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B044L021,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA END,126,40,"5,375,443.96","537,551.14","4,837,892.82",Nov-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B044L025,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA MID,61,40,"2,943,249.42",-,"2,943,249.42",Nov-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B044L027,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA MID,62,40,"2,969,721.24",-,"2,969,721.24",Nov-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B044L033,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA MID,62,40,"2,969,721.24",-,"2,969,721.24",Nov-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B044L034,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA MID,62,40,"2,969,721.24",-,"2,969,721.24",Nov-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B044L035,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA MID,62,40,"2,969,721.24",-,"2,969,721.24",Nov-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B044L038,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA END CORNER,148,40,"6,073,980.60","607,401.49","5,466,579.11",Nov-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B044L039,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA END CORNER,176,40,"6,899,552.78","689,962.80","6,209,589.98",Nov-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B044L040,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA MID,68,40,"3,128,952.14",-,"3,128,952.14",Nov-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B044L041,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA MID,68,40,"3,128,952.14",-,"3,128,952.14",Nov-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B044L042,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA MID,68,40,"3,128,952.14",-,"3,128,952.14",Nov-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B044L043,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA MID,68,40,"3,128,952.14",-,"3,128,952.14",Nov-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B044L044,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA MID,68,40,"3,128,952.14",-,"3,128,952.14",Nov-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B044L045,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA MID,68,40,"3,128,952.14",-,"3,128,952.14",Nov-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B044L047,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA END,102,40,"4,667,753.52","466,784.31","4,200,969.21",Nov-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B044L048,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA MID,68,40,"3,128,952",-,"3,128,952.14",Nov-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B044L049,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA MID,68,40,"3,128,952.14",-,"3,128,952.14",Nov-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B044L050,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA MID,68,40,"3,128,952.14",-,"3,128,952.14",Nov-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
