Unit Code,GEO,PROJECT,PHASE,SUB PHASE,BATCH,UNIT TYPE,LOT AREA,FLOOR AREA,TCP,VAT,TCP w/o VAT,ETD,S HOUSECON,SU & INVENTORY,APPLICABLE TERM,HOUSECON REMARKS,
B041L057,SOMA1,IMPRESSIONS GEN TRI,1,-,3,CALISTA END CORNER,168,40,"6,862,079.37","686,215.65","6,175,863.72",Jun-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B042L094,SOMA1,IMPRESSIONS GEN TRI,1,-,3,CALISTA END CORNER,133,40,"5,631,674.08","563,172.22","5,068,501.85",Apr-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B021L025,SOMA1,NAIC,1,B,1,CALISTA MID,44,40,"2,218,570.00",-,"2,218,570.00",Aug-28,60%,60%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B003L033,NOMA1,BALIWAG EXPANSION,4,,1A,CALISTA END,117,40,"5,136,875.00",-,"5,136,875.00",Jul-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B020L033,SOMA1,NAIC,1,B,2,CALISTA MID,50,40,"2,356,368.00",-,"2,356,368.00",Oct-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B020L034,SOMA1,NAIC,1,B,2,CALISTA MID,50,40,"2,356,368.00",-,"2,356,368.00",Oct-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B020L038,SOMA1,NAIC,1,B,2,CALISTA MID,50,40,"2,356,368.00",-,"2,356,368.00",Oct-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B020L039,SOMA1,NAIC,1,B,2,CALISTA MID,50,40,"2,356,368.00",-,"2,356,368.00",Oct-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B020L040,SOMA1,NAIC,1,B,2,CALISTA MID,50,40,"2,356,368.00",-,"2,356,368.00",Oct-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B020L045,SOMA1,NAIC,1,B,2,CALISTA MID,50,40,"2,356,368.00",-,"2,356,368.00",Oct-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B022L020,SOMA1,NAIC,1,B,2,CALISTA MID,44,40,"2,218,570.00",-,"2,218,570.00",Jan-29,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B022L021,SOMA1,NAIC,1,B,2,CALISTA MID,44,40,"2,218,570.00",-,"2,218,570.00",Jan-29,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B022L029,SOMA1,NAIC,1,B,2,CALISTA MID,44,40,"2,218,570.00",-,"2,218,570.00",Jan-29,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B023L012,SOMA1,NAIC,1,B,2,CALISTA MID,44,40,"2,218,570.00",-,"2,218,570.00",Nov-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B023L013,SOMA1,NAIC,1,B,2,CALISTA MID,44,40,"2,218,570.00",-,"2,218,570.00",Nov-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B023L014,SOMA1,NAIC,1,B,2,CALISTA MID,44,40,"2,218,570.00",-,"2,218,570.00",Nov-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B023L015,SOMA1,NAIC,1,B,2,CALISTA MID,44,40,"2,218,570.00",-,"2,218,570.00",Nov-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B023L016,SOMA1,NAIC,1,B,2,CALISTA MID,44,40,"2,218,570.00",-,"2,218,570.00",Dec-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B023L032,SOMA1,NAIC,1,B,2,CALISTA MID,44,40,"2,218,570.00",-,"2,218,570.00",Dec-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
