UNIT CODE,GEO,PROJECT,PHASE,SUB PHASE,BATCH,UNIT TYPE,LOT AREA,FLOOR AREA,TCP,VAT,TCP w/o VAT,ESTIMATED TURNOVER DATE,S HOUSECON,SU & INVENTORY,APPLICABLE TERM,HOUSE CON TAG,,,
B023L015,SOMA3,EDITIONS BATULAO VOL.2W,1,,2,CORIN CORNER,252,120,"13,470,769.00","1,347,082.00","12,123,686.00",Sep-2028,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B023L017,SOMA3,EDITIONS BATULAO VOL.2W,1,,2,CORIN,148,120,"10,015,638.00","1,001,565.00","9,014,073.00",Sep-2028,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B023L018,SOMA3,EDITIONS BATULAO VOL.2W,1,,2,CORIN,223,120,"12,315,583.00","1,231,562.00","11,084,020.00",Sep-2028,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B023L019,SOMA3,EDITIONS BATULAO VOL.2W,1,,2,CORIN CORNER,233,120,"12,888,152.00","1,288,816.00","11,599,336.00",Sep-2028,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B023L020,SOMA3,EDITIONS BATULAO VOL.2W,1,,2,CORIN,260,120,"13,058,455.00","1,305,852.00","11,752,603.00",Sep-2028,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B024L010,SOMA3,EDITIONS BATULAO VOL.2W,1,,2,CORIN CORNER,256,120,"13,981,661.00","1,398,167","12,583,493.00",May-2028,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B024L011,SOMA3,EDITIONS BATULAO VOL.2W,1,,2,CORIN,156,120,"10,559,753.00","1,055,984.00","9,503,768.00",May-2028,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B024L012,SOMA3,EDITIONS BATULAO VOL.2W,1,,2,CORIN,157,120,"10,591,308.00","1,059,140","9,532,168.00",May-2028,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B024L013,SOMA3,EDITIONS BATULAO VOL.2W,1,,2,CORIN,155,120,"10,528,197.00","1,052,828","9,475,369.00",Jun-2028,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B024L014,SOMA3,EDITIONS BATULAO VOL.2W,1,,2,CORIN,181,120,"11,348,742.00","1,134,883","10,213,859.00",Jun-2028,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B024L015,SOMA3,EDITIONS BATULAO VOL.2W,1,,2,CORIN CORNER,230,120,"13,161,115.00","1,316,112","11,845,003.00",Jun-2028,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B023L044,SOMA3,BATULAO,2,B,3,CALISTA END CORNER,113,40,"5,090,206.00","509,026","4,581,180.00",Aug-2027,80%,REOPEN,RSBS WITHIN THE MONTH,RED TAG,,,
B023L001,SOMA3,EDITIONS BATULAO VOL.2W,1,-,3,CORIN CORNER,321,120,"15,140,491.00","1,514,056","13,626,435.00",Mar-2029,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B023L003,SOMA3,EDITIONS BATULAO VOL.2W,1,-,3,CORIN,167,120,"10,289,545.00","1,028,962","9,260,583.00",Mar-2029,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B023L004,SOMA3,EDITIONS BATULAO VOL.2W,1,-,3,CORIN,182,120,"10,736,169.00","1,073,622","9,662,548.00",Mar-2029,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B023L005,SOMA3,EDITIONS BATULAO VOL.2W,1,-,3,CORIN,228,120,"12,105,730.00","1,210,578","10,895,152.00",Mar-2029,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B023L006,SOMA3,EDITIONS BATULAO VOL.2W,1,-,3,CORIN,220,120,"11,867,524.00","1,186,760","10,680,764.00",Mar-2029,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B023L007,SOMA3,EDITIONS BATULAO VOL.2W,1,-,3,CORIN,201,120,"11,301,847.00","1,130,191.00","10,171,656.00",Mar-2029,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B025L010,SOMA3,EDITIONS BATULAO VOL.2W,1,-,3,CORIN,149,120,"9,753,656.00","975,370","8,778,286.00",Oct-2028,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B025L011,SOMA3,EDITIONS BATULAO VOL.2W,1,-,3,CORIN,168,120,"10,319,334.00","1,031,939","9,287,394.00",Oct-2028,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B025L012,SOMA3,EDITIONS BATULAO VOL.2W,1,-,3,CORIN,152,120,"9,843,021.00","984,302","8,858,719",Oct-2028,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B025L013,SOMA3,EDITIONS BATULAO VOL.2W,1,-,3,CORIN,144,120,"9,604,815.00","960,484","8,644,331.00",Oct-2028,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B026L025,SOMA3,BATULAO,2,B,5,BRENNA REGULAR,105,45,"5,231,828.00","523,192","4,708,636.00",May-2027,22%,REOPEN,RSBS WITHIN THE MONTH,YELLOW TAG,,,
B004L010,SOMA3,EDITIONS BATULAO VOL.2W,1,,4,CHRISTIE CORNER,183,90,"9,396,685.00","939,673","8,457,011.00",May-2029,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B004L011,SOMA3,EDITIONS BATULAO VOL.2W,1,,4,CHRISTIE CORNER,184,90,"9,426,473.00","942,651.00","8,483,822.00",May-2029,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
